"H2b thermometer 3 - offshore price changes, point-level sourcing.",,,,
commodity,exam,invisibility_precutoff,price_change_1mo_overseas_pct,quality
gallium,A,0.484,43.4,hard Reuters报盘
germanium,A,0.6262,9.1,hard Reuters报盘
graphite (natural),B,0.3594,4.0,hard FOB China+Benchmark佐证
antimony,C,0.5375,12.0,hard Argus鹿特丹
bismuth,D,0.6298,100.0,hard-conservative 2.5周下限
molybdenum,D,0.4375,1.0,hard Wayback/DMP +1.03%
indium,D,0.568,2.0,hard Wayback双源 +0.6~2.0%
tellurium,D,0.6943,7.2,hard Wayback/DMP +7.2%（升级为主样本）
dysprosium,E1,0.5642,200.0,descriptive SMM氧化物; Wayback零售金属+35%同向佐证
terbium,E1,0.5882,100.0,descriptive SMM氧化物; Wayback零售金属+36%同向佐证
tungsten,D,0.520,18,secondary: 3个月窗口
anode/synthetic graphite,E2,~0.36 proxy,+1~3,secondary: Benchmark DDP China季度
