facility,permit_no,first_issue_date,industry_class,host_or_site,hcl_flag,h2so4_mist_flag,fingerprint,gallium_status,corroborating_evidence,notes
三门峡台泉镓业科技有限公司,91411200MAE9CKQ814001V,2026-06-02,隔热和隔音材料制造,河南三门峡示范区,1,0,positive_weak,dedicated_gallium_firm,平台登记;2026 新设,管制后新生儿——反身性侵蚀证据(管制→涨价→新产能);不入 H1 主面板
朝阳金美镓业有限公司,91211300MA0XYDACX4001Q,2019-12-19,电子专用材料制造,辽宁朝阳喀左(无铝厂),1,1,positive_strong,dedicated_gallium_firm,废水含总砷→疑砷化镓回收/提纯路线,"六家专业户中首证最早;归回收/提纯层,非拜耳法一次镓"
孝义市兴安镓业有限公司,9114118157106426XT001U,2020-03-31,其他稀有金属冶炼,山西孝义兴安化工厂内(信发系),1,1,positive_strong,dedicated_gallium_firm,工商年报≤2013;执行稀土工业排放标准GB26451,许可日≠始建日(制度2017后铺开);信发系山西点位
原平中科晶电镓业有限公司,91140981MA0MRHLP9E001V,2022-05-26,其他稀有金属冶炼,国家电投集团山西铝业厂区内,1,0,positive_weak,dedicated_gallium_firm,专利 CN118957314B(2024-07),新发现宿主:国家电投山西铝业;定年由专利2024提前至2022
平陆优英镓业有限公司,91140829MA0K9U196K001V,2020-06-24,其他稀有金属冶炼,山西运城平陆,1,1,positive_strong,dedicated_gallium_firm,蓝晓2021问询函客户名单,客户名单+许可双重印证
广西德保镓业有限公司,91451024581985767L001Z,2024-03-28,其他稀有金属冶炼,德保华银铝厂区,0,1,positive_weak,dedicated_gallium_firm,蓝晓2021客户;2024 环评扩建报道,宿主坐实:华银铝;许可晚于实际运营
柳林县森泽方源镓业科技有限公司,91141125075547211Y001V,2020-12-08,其他稀有金属冶炼,柳林森泽公司厂区,1,0,positive_weak,dedicated_gallium_firm,平台新发现,"全新面孔+新宿主(森泽,柳林煤铝系)"
开曼铝业（三门峡）有限公司,914112007507048163001P,2018-06-02,铝冶炼+煤制合成气,自有氧化铝(三门峡),0,0,negative,known_gallium_major,副本载投产日期2005-12-26;券商:2022产能160t→2023产能290t/产量203t=全球35%,全球最大镓厂但主体许可指纹阴性(镓线可能独立核算或排放并入他证);2022-04重新申请疑为扩产时点
东方希望（三门峡）铝业有限公司,91411200753877093M001P,2017-05-27,铝冶炼,自有氧化铝(渑池天坛工业园),1,1,positive_strong,gallium_line_inferred_from_fingerprint,蓝晓2008建70t/y 4N高纯镓线;新华财经2022:三门峡高纯镓产能110t占全国27.1%,"★指纹法首个战果:许可证只写铝冶炼,排放清单(HCl+硫酸雾+酚类)出卖提镓线"
山西华兴铝业有限公司,9114000055870084XW001P,2017-06-14,铝冶炼,自有氧化铝(吕梁兴县),0,1,positive_weak,gallium_line_confirmed,人民网2023-04投产仪式;许可2023-12-29重新申请,投产仪式与许可变更时间线咬合(4月→12月)
靖西天桂铝业有限公司,91451025MA5KYFWF7J001P,2019-07-19,铝冶炼,自有氧化铝(广西靖西),0,0,negative,patent_only_no_line,"专利 CN116081688A(2022-12-30)已于2024-04-30驳回;天山铝业2025年报无""镓""字;SMM2023记其仍在""论证""赤泥提镓","★关键阴性(2026-08复核加强):专利被驳回、无环评/招投标/投产报道、年报无镓→确证未装线。注意靖西另有广西信发铝电(300万吨,2008投产),USGS氧化铝层遗漏该厂;USGS标在靖西的方源镓点宿主应为信发而非天桂(方源6厂建于2005-2011,天桂2019底才投产)"
广西华昇新材料有限公司,91450600MA5L65WW7U001P,2019-12-16,铝冶炼,中铝广西防城港基地,0,0,negative,no_gallium_evidence,—,★否证'新建厂出厂即带镓电路';政策指令变量需按具体文件细化
中铝中州铝业有限公司,914108213357726196001P,2017-05-28,铝冶炼,中铝河南修武,0,0,negative,no_gallium_evidence,中铝2014产品页四大镓厂不含中州,大厂而无镓:H1 因变量变异的来源
遵义铝业股份有限公司氧化铝区,91520321785494580T001P(现006V),2017-06-29,铝冶炼,中铝贵州遵义,0,0,negative,known_gallium_but_negative,中铝2014产品页列为四大镓厂;2002论文:2001年中试产镓;蓝晓2012建40t/y线2014中止,"★指纹法边界样本:已知有镓却阴性→碳分法不产酸性废气/线已停/规模过小;确立'阳性=强证据,阴性≠无镓'"
茌平信发华宇氧化铝有限公司,91371500769712461N001P,2017-06-23,铝冶炼,信发系山东本部,0,0,negative,no_gallium_evidence,—,"集团内分化:信发山西(兴安镓业)有镓,山东本部无→厂级而非集团级决策"
山东魏桥铝电年产400万吨氧化铝生产线,9137160074568737XQ024P,2018-12-26,铝冶炼,宏桥/魏桥邹平,0,0,negative,legal_entity_negative_site_positive,"宏桥控股(002379)2026-06-04互动易""公司现阶段未开展与金属镓相关的生产活动"";方源董事长2019受访自列""山东邹平""为其6个镓基地之一;2025-26滨州镓元新材料(方源持股24%)30t线落地沾化,原料来自魏桥系汇宏新材料","⚠对照组已作废(2026-08复核):铝厂法人口径无镓属实,但厂区/母液层面有第三方镓电路→'能装而未装'的说法必须撤回;正确读法=外包电路(法人分离,母液供给),这是H1的机制发现而非反例"
