"China production share, non-REE commodities (85 rows: 80 valued + 11 documented-NA). Numerator/denominator kept in notes.",,,,
commodity,china_share_pct,basis,data_year,notes
abrasives (manufactured),54.3,capacity (fused Al2O3+SiC),2021,(800+450)/(1300+1000) kt; MCS2022 abrasives; below all entry thresholds
aluminum,58,smelter,2022e,primary Al smelter prod 40000/69000 kt
antimony,54.5,mine,2022e,60000/110000 t Sb content
arsenic,39.3,smelter,2022e,As2O3 plant prod (gross wt) 24000/61000 t
asbestos,14,mine,2022e,"~180/1300 kt; Russia leads; routine MCS2023 entry, threshold 95% — entry-insensitive; spot-verify"
barite,24.1,mine,2022e,1900/7900 kt
bauxite and alumina,58.6,alumina refinery,2022e,alumina 82/140 Mt; bauxite basis ~24% (90/380 Mt); threshold 90% — insensitive; spot-verify
beryllium,25,mine,2022e,70/280 t Be content
bismuth,80,refinery,2022e,16000/20000 t
boron,6,mine (B2O3),2022e,Turkey ~63% leads; threshold 86% — insensitive
bromine,25,production,2022e,"US/Israel lead; ESTIMATE, threshold 81% — insensitive; spot-verify"
cadmium,41.7,refinery,2022e,10000/24000 t
cement,51,production,2022e,2100/4100 Mt; threshold >159% — insensitive
cerium,70,mine,2022e,REE group basis
cesium,,,2022,DOCUMENTED NA: no active conventional mine production reported; data withheld
chromium,0,mine,2022e,China not listed in MCS table (negligible)
clays,,,2022,DOCUMENTED NA: six clay types aggregated; world data incomplete for a single share
cobalt,1.2,mine,2022e,2200/190000 t; China leads refined Co (not tabulated in MCS)
copper,8.6,mine,2022e,mine 1900/22000 kt; refinery share 42.3%
diamond (industrial),95,synthetic production,2022e,USGS MCS qualitative only (China leading; 3-5 countries=99%); quantification from China Superhard Materials Assoc / industry filings pre-2023; FLAG industry-sourced; result insensitive over 68-99
diatomite,17,mine,2022e,US leads; threshold 66% — insensitive; spot-verify
dysprosium,70,mine,2022e,REE group basis
feldspar,8.6,mine,2022e,2400/28000 kt
fluorspar,68.7,mine,2022e,5700/8300 kt
gallium,98.2,refinery,2022e,primary low-purity Ga 540/550 t; MCS text confirms 98%
garnet (industrial),17,mine,2022e,Australia/India lead; threshold 79% — insensitive; spot-verify
gemstones,,,2022,"DOCUMENTED NA: value-based, no tonnage share meaningful"
germanium,65.4,refinery,2019,MCS2023 table NA; fallback MCS2020 (Jan 2020) 85000/130000 kg
gold,10.6,mine,2022e,330/3100 t
graphite (natural),65.4,mine,2022e,850/1300 kt
gypsum,15,mine,2022e,threshold 84% — insensitive
hafnium,3,refinery,2016-20 avg,MCS2023 no world data; EC CRM 2020 factsheet: FR49 US44 CN3 RU3
helium,0.6,mine,2022e,1/160 Mm3
indium,58.9,refinery,2022e,530/900 t
iodine,1,production,2022e,"Chile ~67%, Japan; China negligible; threshold 84% — insensitive"
iron and steel,54,crude steel,2022e,1018/1885 Mt; threshold 117% — insensitive
iron and steel scrap,,,2022,"DOCUMENTED NA: recycling flow, no production-share basis"
iron and steel slag,54,derived from crude steel,2022e,"proportional to steel; threshold 63% — margin 9pt, noted"
iron ore,14.6,mine,2022e,usable ore gross wt 380/2600 Mt
iron oxide pigments,,,2022,"DOCUMENTED NA: MCS2023 ""available information was inadequate to make reliable estimates""; world total NA"
kyanite,15,mine (kyanite group),2022e,ESTIMATE; South Africa leads (andalusite); China minor; below 50 threshold with wide margin; exact MCS number to verify (fetch blocked)
lanthanum,70,mine,2022e,REE group basis
lead,44.4,mine,2022e,2000/4500 kt
lime,72,production,2022e,310/430 Mt; threshold 121% — insensitive
lithium,14.6,mine,2022e,19000/130000 t; world total excludes US (W) - slight overstatement
magnesium compounds,63.8,mine (magnesite),2022e,17000/26660 kt; MCS2023 magnesium compounds; magnesia basis somewhat higher; VERIFIED 2026-08-15
magnesium metal,90,smelter,2022e,900/1000 kt; world excludes US (W)
manganese,5,mine,2022e,990/20000 kt Mn content
mercury,85,mine,2022e,China dominant per MCS; threshold 139% — insensitive; spot-verify
mica (natural),25.6,mine,2022e,scrap+flake 100/390 kt
molybdenum,40,mine,2022e,100000/250000 t
neodymium,70,mine,2022e,REE group basis: China REO mine 210/300 kt
nickel,3.3,mine,2022e,110/3300 kt
niobium,0,mine,2022e,China not listed; Brazil ~90%
nitrogen (fixed)-ammonia,26,production (N),2022e,39/150 Mt; threshold 118% — insensitive
peat,4,production,2022e,threshold >104% — insensitive
perlite,10,mine,2022e,Turkey leads; threshold 63% — insensitive; spot-verify
