"Rare-earth element shares, dual basis (mine / separation). Main spec uses separation. 7 rows flagged INFERRED.",,,,,,
element,china_share_mine_pct,china_share_separation_pct,best_single_number,source,pub_date,notes
lanthanum,65,88,88,USGS MCS2023 x ore distributions; DOE REPM Deep Dive,2023-01/2022-02,"mine 62-70; non-China separation: Lynas Malaysia, Solvay La Rochelle, IREL"
cerium,70,88,88,SCRREEN2 factsheet (Ce mine 68%); USGS MCS2023; DOE,2023-03/2023-01/2022-02,solid +/-5
praseodymium,75,90,90,Computed USGS x distributions; DOE separation 89%; Lynas FY2022 ~6kt NdPr only non-China,2023-01/2022-02,well documented
neodymium,75,90,90,SCRREEN2 (Nd mine 80% 2016-20); DOE separation 89-90%,2023-03/2022-02,solid
samarium,65,97,97,Computed; SEG concentrates flow to China unseparated,2023-01 basis,separation 95-99 inferred
europium,70,98,98,Computed; DOE HRE separation near 100%,2022-02,market thin post-phosphor collapse; inferred
gadolinium,70,98,98,Computed; DOE,2022-02,moderate confidence
terbium,60,99,99,DOE: HRE separation near 100%; ionic clays S.China+Myanmar processed in China,2022-02,mine volatile w/ Myanmar; separation solid
dysprosium,55,99,99,DOE; USGS MCS2023 Myanmar tonnage; Oxford IES 2023-06,2022-02/2023-01/2023-06,effective control ~99 incl Myanmar feedstock
holmium,55,99,99,Inferred: identical chain to Dy; DOE HRE statement,2022-02,no element-specific stats exist
erbium,55,99,99,Inferred: ionic-clay chain,2022-02,inferred
thulium,55,99,99,Inferred: ionic-clay chain,2022-02,smallest REE market; inferred
ytterbium,55,99,99,Inferred: ionic-clay chain,2022-02,inferred
lutetium,55,99,99,Inferred: ionic-clay chain,2022-02,inferred
yttrium,45,99,99,USGS MCS2023 Yttrium: 'nearly all imports... processed in China',2023-01,best-documented heavy; Myanmar largest miner 2021
